year,n_turbines,hub_height_m_median,hub_height_m_mean,hub_height_m_std,rotor_diameter_m_median,rotor_diameter_m_mean,rotor_diameter_m_std,specific_power_wm2_median,specific_power_wm2_mean,specific_power_wm2_std
2000,26,65.0,66.15384615384616,2.148344622118299,47.0,49.23076923076923,9.43316571383199,397.8873577297383,406.5749647925449,29.447492682034255
2001,12,65.0,68.33333333333333,15.85922922197518,45.5,54.166666666666664,14.577899420532148,394.59903245924465,400.0905737030602,18.84562195259329
2002,10,70.0,77.2,14.505171491574997,70.0,63.2,13.894843168120564,400.2417207932279,425.6338818309967,36.271768248462266
2003,44,92.0,90.31818181818181,10.840863106616832,70.0,70.18181818181819,10.332321667270175,397.8873577297383,424.8191811425393,36.09785603845998
2004,30,86.0,86.6,14.924176174340703,70.0,71.66666666666667,9.893687758933185,467.7206490863863,434.06645652028044,65.42622920114023
2005,58,100.0,97.72413793103448,14.612891572888378,80.0,77.82758620689656,13.400887547242588,397.8873577297383,400.1108727774625,82.02598713039654
2006,20,86.0,85.8,9.185801400445204,71.0,70.6,9.670356222688188,454.63820284135943,456.0893012633443,78.40550706618451
2007,10,86.0,89.2,15.725421739619224,77.0,79.6,9.299940262651631,314.38013450250935,388.7025862097977,107.00587553799052
2008,4,102.5,102.5,2.886751345948127,90.0,90.0,0.0,314.38013450250935,314.38013450250935,0.0
2010,12,106.5,106.5,1.5666989036012815,86.0,86.0,4.177863742936748,374.9511434626522,374.9511434626522,63.26435555191945
2011,16,102.5,106.125,22.70646016739142,86.0,89.875,14.863265679744362,378.8219057865995,396.6651405255097,98.21954272076624
2012,40,121.5,119.05,17.76621686061671,92.0,92.2,12.091955367738697,374.445508695764,396.99294406391243,87.36806952009204
2013,30,119.0,119.66666666666667,16.916291542185892,101.0,98.43333333333334,12.477381835596137,374.445508695764,368.5176777487766,73.88515295508512
2014,42,135.0,127.97142857142858,17.450617232976224,101.0,99.80952380952381,8.676399430915174,374.445508695764,380.15547608930757,53.244677374882315
2015,34,135.0,125.29411764705883,21.12234119795222,101.0,100.58823529411765,12.801793546357679,374.445508695764,369.04256972840926,75.03819037219652
2016,28,136.0,126.78571428571429,20.559501980668735,112.0,105.78571428571429,12.323891709939149,310.57012594725035,331.9155014547563,74.9276580037895
2017,10,99.0,98.4,39.14985454776443,101.0,90.2,22.364654653666747,374.445508695764,399.2782892828626,92.69657629442015
2018,6,140.0,136.83333333333334,7.353003921300919,113.0,113.0,0.8944271909999151,338.00218754511474,335.7554425366596,14.016273667178297
2019,4,105.5,105.5,15.588457268119896,113.6,113.6,1.8475208614068013,320.9840220536422,320.9840220536422,16.13367447707493
2020,6,166.0,155.66666666666666,16.00833116432399,136.0,129.0,22.57432169523594,289.1223014645158,302.4933167741465,64.79137230061735
2021,5,164.0,146.2,24.83344518990468,149.0,137.0,23.526580712037184,273.1553842820741,297.9346557953719,48.09018319590403
2022,16,156.0,149.9875,19.243903796613964,150.0,150.9375,12.217303303102526,308.84549164077373,304.1268338409191,21.61212939992825
2023,20,166.0,160.65,17.312225677096997,150.0,154.3,10.872950502581116,300.79580770301817,305.04886189901265,36.73722066450176
2024,34,167.8,160.21470588235294,17.382839541252576,162.0,153.15441176470588,19.076204309443085,323.38027346961064,323.0085128127501,30.192120692779312
2025,17,166.0,157.11764705882354,28.20656473443101,162.0,154.35294117647058,19.877566426975488,309.8744159712403,319.5901207624191,27.776067382149183
