year,n_turbines,hub_height_m_median,hub_height_m_mean,hub_height_m_std,rotor_diameter_m_median,rotor_diameter_m_mean,rotor_diameter_m_std,specific_power_wm2_median,specific_power_wm2_mean,specific_power_wm2_std
1988,2,33.5,33.5,7.0710678118654755,26.75,26.75,2.4748737341529163,399.66162428522875,399.66162428522875,10.995552916317006
1989,3,30.0,32.166666666666664,5.575242894559243,25.0,25.0,0.0,407.43665431525204,441.38970884152303,58.80841551165785
1990,11,35.0,33.75454545454546,4.879418743326633,32.0,30.05454545454546,5.206988311176363,407.43665431525204,402.4919532135271,67.1480861656547
1991,27,30.0,31.21851851851852,2.378919767301802,27.0,26.985185185185188,3.2090861032751388,361.03200701375124,357.89083695360597,71.41448714198161
1992,56,31.75,34.058928571428574,5.166950103941723,27.0,28.52375,3.596754376580995,392.97516812813666,370.0699453545248,68.97140929274794
1993,127,35.0,36.1511811023622,5.703227520402929,31.0,31.028582677165357,5.298579582709003,392.97516812813666,376.1219823070858,78.75789172872666
1994,246,42.2,44.08808943089431,7.337485195071118,40.0,36.36487804878049,6.783009429732698,397.8873577297383,389.2757515308216,52.47127168160583
1995,492,50.0,50.450579268292685,7.611648346430087,40.3,39.406467479674795,4.835329601100884,397.8873577297383,395.05250116326226,35.76789670705811
1996,395,58.0,56.34607594936709,7.91399861995525,40.3,41.040506329113924,4.29140680101673,394.59903245924465,389.7833999017782,29.209642739099035
1997,454,63.0,59.86861233480176,8.703509127849939,42.0,43.44096916299559,6.861940009370795,397.8873577297383,390.5777530222917,39.57171728320057
1998,558,65.0,62.28476702508961,7.480240940218589,44.0,46.979390681003586,8.966814240146372,397.8873577297383,401.52675647497637,33.93579642717489
1999,1013,66.8,65.13415597235932,11.595645104038445,50.0,52.8147087857848,10.137069044518329,394.59903245924465,403.4745012731432,42.82122590991538
2000,1107,68.0,70.05460704607046,10.677372582516805,60.0,57.58410117434507,10.444949123316466,394.59903245924465,406.54597940657607,45.91326392586907
2001,1846,70.0,74.97900866738895,12.726824499267488,64.0,62.20471289274106,11.3143487334313,397.8873577297383,407.448073653918,56.22961643122471
2002,2021,78.0,78.65710044532409,14.300208068288422,70.0,65.13339930727363,12.29148331780428,394.59903245924465,403.51198971866074,53.77942199067091
2003,1639,85.0,83.79334350213546,15.713161497535243,70.0,69.99209273947528,10.698709287400169,397.8873577297383,397.8924855622047,65.50660336037372
2004,1147,98.0,89.03677419354838,16.223002641804097,71.0,72.42728857890148,11.458500729888666,397.8873577297383,409.11621822652785,75.03641048040794
2005,987,98.0,90.79147922998987,17.365289176833617,71.0,73.07608915906789,11.451085482447613,397.8873577297383,409.7830244220969,86.73853564526327
2006,1190,98.0,91.94983193277311,16.208967992119156,77.0,76.61403361344537,13.003794996269699,397.8873577297383,404.7434027486419,87.37690676836415
2007,888,98.0,90.66664414414414,18.915625401468773,80.0,76.88389189189188,14.25282520088613,378.7149151502566,405.6629174857651,93.04904747149004
2008,392,98.0,90.57380102040817,20.802263048028813,77.0,75.7609693877551,14.806602594376857,378.7149151502566,425.7130439968135,100.85556314960563
2009,1368,100.0,94.7963888888889,22.489585927106845,82.0,78.73662280701754,13.237599549825028,378.7149151502566,400.34854771192454,90.64424127280732
2010,704,105.0,99.24561079545455,22.89461389252609,82.0,79.66463068181818,13.495251222311886,378.7149151502566,392.5675966911879,76.3954525308449
2011,834,105.0,104.66053956834533,24.39323822080602,82.0,83.20791366906474,13.148051027512402,435.5221524227951,409.00323348649044,86.67614547646264
2012,1003,108.0,110.18026919242273,22.975783850398603,82.0,88.00458624127617,14.120715622231138,388.18278802901307,394.6957633936613,86.47401451040393
2013,1144,128.0,117.32090909090908,24.986940533968355,101.0,94.87237762237763,16.801372874707273,380.6862671740267,377.68867752029024,91.18128805558338
2014,1709,123.0,115.54297249853715,26.483509144668744,101.0,98.98423054417788,17.185621572263216,338.9206717504004,363.4546937234905,96.52083287959763
2015,1375,135.4,122.04256727272727,23.447551739148874,112.0,104.35265454545454,16.094079096315184,312.1182716885065,327.7214690758351,75.50454168223145
2016,1531,138.38,127.78047681254083,23.05555822217062,115.0,109.10776616590464,15.764249563102256,288.825605611001,317.29426875914027,83.73425569411073
2017,1831,137.0,128.05547241944294,22.88479292444505,115.71,112.7393555434189,16.111299765409903,288.825605611001,307.9005724250067,76.34345095878854
2018,744,139.0,132.63845430107526,23.969593904109477,115.72,118.2476747311828,15.928047047330427,285.2919951383476,299.8390341686993,60.16519942580128
2019,281,138.4,134.65251601423486,21.419105335972667,126.0,121.96014234875446,16.57740195850816,282.03534076045173,294.9024756386789,49.91436811085739
2020,417,138.0,134.64875299760192,23.785204149260863,126.0,121.72393285371702,21.02694413574612,285.2919951383476,297.15767953266277,56.61332270038373
2021,487,140.0,139.8218275154004,23.339624754703163,136.0,133.34642710472278,16.1694664995149,280.5166438088205,287.7095817930768,47.28246551685522
2022,546,138.38,137.35139194139194,26.783892870996162,138.0,136.74978021978023,16.535800248547545,284.8165084797837,296.7249945468655,43.966576815664084
2023,746,135.20499999999998,135.84623324396782,27.100856786164204,149.0,141.1341689008043,16.919528772164583,291.09271713195307,306.04712841906246,41.599044388778616
2024,647,160.0,142.82639876352394,25.796197811521434,149.1,146.24506955177742,17.91461462867446,290.77442890145585,302.58882357012567,36.17019012502751
2025,970,162.0,146.0642886597938,27.08160014889326,158.0,151.25227835051547,16.712015021946083,291.09271713195307,304.1641657309814,40.38486336698943
2026,264,162.0,150.5453787878788,21.58799745406013,160.0,153.13378787878787,14.544131662823878,289.1223014645158,299.4128919943908,35.87350072253094
