full_id,longitude,latitude,country,PLE,wb_c_hist,wb_k_hist,weibull_c_SSP245_ACCESS-CM2,weibull_k_SSP245_ACCESS-CM2,weibull_c_SSP245_ACCESS-ESM1-5,weibull_k_SSP245_ACCESS-ESM1-5,weibull_c_SSP245_CanESM5,weibull_k_SSP245_CanESM5,weibull_c_SSP245_CESM2-WACCM,weibull_k_SSP245_CESM2-WACCM,weibull_c_SSP245_CMCC-CM2-SR5,weibull_k_SSP245_CMCC-CM2-SR5,weibull_c_SSP245_CMCC-ESM2,weibull_k_SSP245_CMCC-ESM2,weibull_c_SSP245_EC-Earth3,weibull_k_SSP245_EC-Earth3,weibull_c_SSP245_IITM-ESM,weibull_k_SSP245_IITM-ESM,weibull_c_SSP245_IPSL-CM6A-LR,weibull_k_SSP245_IPSL-CM6A-LR,weibull_c_SSP245_MPI-ESM1-2-HR,weibull_k_SSP245_MPI-ESM1-2-HR,weibull_c_SSP245_MPI-ESM1-2-LR,weibull_k_SSP245_MPI-ESM1-2-LR,weibull_c_SSP245_MRI-ESM2-0,weibull_k_SSP245_MRI-ESM2-0,weibull_c_SSP245_NorESM2-MM,weibull_k_SSP245_NorESM2-MM,weibull_c_SSP585_ACCESS-CM2,weibull_k_SSP585_ACCESS-CM2,weibull_c_SSP585_ACCESS-ESM1-5,weibull_k_SSP585_ACCESS-ESM1-5,weibull_c_SSP585_CanESM5,weibull_k_SSP585_CanESM5,weibull_c_SSP585_CESM2-WACCM,weibull_k_SSP585_CESM2-WACCM,weibull_c_SSP585_CMCC-CM2-SR5,weibull_k_SSP585_CMCC-CM2-SR5,weibull_c_SSP585_CMCC-ESM2,weibull_k_SSP585_CMCC-ESM2,weibull_c_SSP585_EC-Earth3,weibull_k_SSP585_EC-Earth3,weibull_c_SSP585_IITM-ESM,weibull_k_SSP585_IITM-ESM,weibull_c_SSP585_IPSL-CM6A-LR,weibull_k_SSP585_IPSL-CM6A-LR,weibull_c_SSP585_MPI-ESM1-2-HR,weibull_k_SSP585_MPI-ESM1-2-HR,weibull_c_SSP585_MPI-ESM1-2-LR,weibull_k_SSP585_MPI-ESM1-2-LR,weibull_c_SSP585_MRI-ESM2-0,weibull_k_SSP585_MRI-ESM2-0,weibull_c_SSP585_NorESM2-MM,weibull_k_SSP585_NorESM2-MM,distance_km,region,reference_name
n1562890233,16.6135671,47.5747827,Austria,0.27,4.94,1.19,4.88,1.19,5.04,1.18,4.26,1.16,4.55,1.17,5.3,1.22,5.06,1.21,4.48,1.2,5.09,1.16,4.48,1.15,4.58,1.2,4.58,1.18,4.77,1.12,4.73,1.17,5.09,1.18,4.78,1.19,4.22,1.15,4.3,1.14,4.97,1.18,5.31,1.21,4.22,1.19,4.7,1.17,4.47,1.16,4.47,1.17,4.71,1.19,4.75,1.12,4.46,1.14,11.909175321260472,AT,Weinviertel
n1562890238,16.6137822,47.5774992,Austria,0.27,4.73,1.04,4.67,1.04,4.83,1.03,3.99,1.01,4.3,1.02,5.13,1.06,4.87,1.05,4.23,1.04,4.89,1.01,4.23,1.0,4.34,1.05,4.34,1.03,4.55,0.98,4.5,1.02,4.9,1.03,4.57,1.04,3.95,1.0,4.03,1.0,4.77,1.03,5.14,1.05,3.95,1.03,4.47,1.02,4.22,1.01,4.22,1.02,4.48,1.04,4.52,0.98,4.2,1.0,12.13322142792096,AT,Weinviertel
n1562890237,16.6178587,47.576759,Austria,0.263,4.9,1.2,4.84,1.21,4.99,1.2,4.22,1.17,4.51,1.18,5.24,1.23,5.01,1.22,4.44,1.21,5.04,1.18,4.45,1.16,4.54,1.22,4.55,1.2,4.73,1.14,4.69,1.18,5.04,1.2,4.74,1.21,4.19,1.16,4.27,1.16,4.92,1.19,5.25,1.22,4.19,1.2,4.66,1.18,4.43,1.17,4.44,1.19,4.67,1.21,4.71,1.14,4.42,1.16,12.293309093517674,AT,Weinviertel
n7049605853,16.6213918,47.5765185,Austria,0.271,5.08,1.42,5.02,1.43,5.16,1.41,4.48,1.38,4.74,1.4,5.38,1.46,5.18,1.44,4.68,1.43,5.2,1.39,4.68,1.37,4.77,1.44,4.77,1.42,4.93,1.34,4.9,1.4,5.21,1.42,4.94,1.42,4.45,1.38,4.52,1.37,5.1,1.41,5.39,1.44,4.45,1.42,4.87,1.4,4.67,1.39,4.67,1.41,4.88,1.43,4.91,1.34,4.66,1.37,12.467292049438907,AT,Weinviertel
n1562890249,16.614452,47.5815272,Austria,0.255,5.06,1.28,5.0,1.29,5.15,1.28,4.41,1.25,4.68,1.26,5.39,1.31,5.18,1.3,4.62,1.29,5.2,1.26,4.62,1.24,4.72,1.3,4.72,1.28,4.9,1.21,4.86,1.26,5.2,1.28,4.91,1.29,4.37,1.24,4.45,1.23,5.09,1.27,5.41,1.3,4.37,1.28,4.83,1.26,4.61,1.25,4.61,1.27,4.84,1.29,4.88,1.21,4.6,1.23,12.48963186850078,AT,Weinviertel
n1562890243,16.6209361,47.5795985,Austria,0.263,5.25,1.49,5.2,1.5,5.33,1.49,4.66,1.45,4.91,1.47,5.54,1.53,5.35,1.52,4.86,1.5,5.37,1.46,4.86,1.45,4.94,1.51,4.94,1.49,5.11,1.42,5.07,1.47,5.38,1.49,5.12,1.5,4.63,1.45,4.7,1.44,5.27,1.48,5.56,1.52,4.63,1.49,5.04,1.47,4.84,1.46,4.85,1.48,5.06,1.5,5.09,1.41,4.83,1.44,12.678782303070614,AT,Weinviertel
n1562890263,16.6208928,47.5830574,Austria,0.272,5.36,1.5,5.31,1.51,5.44,1.49,4.77,1.46,5.02,1.47,5.67,1.54,5.47,1.52,4.96,1.51,5.49,1.47,4.96,1.45,5.05,1.52,5.05,1.49,5.22,1.42,5.18,1.47,5.49,1.49,5.23,1.5,4.73,1.45,4.8,1.44,5.39,1.49,5.68,1.52,4.73,1.5,5.15,1.48,4.95,1.46,4.96,1.48,5.17,1.5,5.2,1.42,4.94,1.44,12.947717554070795,AT,Weinviertel
n1562890259,16.6253312,47.5828849,Austria,0.248,5.6,1.7,5.55,1.71,5.68,1.7,5.05,1.66,5.29,1.68,5.88,1.75,5.7,1.73,5.23,1.71,5.72,1.67,5.23,1.65,5.32,1.72,5.32,1.69,5.47,1.61,5.44,1.67,5.72,1.7,5.48,1.71,5.02,1.65,5.08,1.64,5.63,1.69,5.89,1.73,5.02,1.7,5.41,1.68,5.22,1.66,5.23,1.68,5.42,1.71,5.45,1.61,5.21,1.64,13.16993857243922,AT,Weinviertel
n1562890247,16.6288079,47.5811338,Austria,0.257,5.44,1.58,5.39,1.59,5.52,1.57,4.86,1.54,5.11,1.55,5.73,1.62,5.54,1.6,5.06,1.59,5.56,1.55,5.06,1.53,5.14,1.6,5.14,1.57,5.3,1.49,5.27,1.55,5.57,1.57,5.31,1.59,4.83,1.53,4.9,1.52,5.47,1.57,5.74,1.6,4.83,1.58,5.24,1.56,5.04,1.54,5.05,1.56,5.25,1.58,5.28,1.49,5.03,1.52,13.224129689289041,AT,Weinviertel
n4387582493,16.6642223,47.5613969,Austria,0.227,6.19,1.91,6.14,1.92,6.26,1.9,5.64,1.86,5.88,1.88,6.46,1.96,6.28,1.94,5.82,1.92,6.3,1.87,5.82,1.85,5.9,1.93,5.9,1.9,6.05,1.81,6.02,1.88,6.3,1.9,6.06,1.91,5.61,1.85,5.67,1.84,6.21,1.89,6.47,1.94,5.61,1.91,6.0,1.88,5.81,1.86,5.81,1.89,6.01,1.92,6.04,1.8,5.8,1.84,14.093469659685464,AT,Weinviertel
n4387582388,16.6687458,47.5562122,Austria,0.22,5.93,1.51,5.87,1.52,6.01,1.5,5.27,1.47,5.55,1.49,6.25,1.55,6.04,1.54,5.49,1.52,6.06,1.48,5.49,1.46,5.58,1.53,5.59,1.51,5.77,1.43,5.73,1.49,6.07,1.51,5.78,1.52,5.23,1.46,5.31,1.46,5.95,1.5,6.27,1.54,5.23,1.51,5.7,1.49,5.47,1.48,5.48,1.5,5.71,1.52,5.75,1.43,5.46,1.46,14.12771600271662,AT,Weinviertel
n4387582494,16.6677742,47.5632608,Austria,0.228,5.48,1.49,5.43,1.5,5.56,1.48,4.87,1.45,5.13,1.47,5.79,1.53,5.59,1.51,5.07,1.5,5.61,1.46,5.07,1.44,5.16,1.51,5.16,1.49,5.34,1.41,5.29,1.47,5.62,1.49,5.34,1.49,4.83,1.44,4.9,1.43,5.51,1.48,5.8,1.51,4.83,1.49,5.27,1.47,5.06,1.46,5.06,1.48,5.28,1.49,5.32,1.41,5.05,1.44,14.427059938883032,AT,Weinviertel
