year,n_turbines,hub_height_m_median,hub_height_m_mean,hub_height_m_std,rotor_diameter_m_median,rotor_diameter_m_mean,rotor_diameter_m_std,specific_power_wm2_median,specific_power_wm2_mean,specific_power_wm2_std
1986,56,24.0,25.285714285714285,6.7412280664694775,19.4,20.385714285714283,5.168274850959935,405.96435691417673,412.0508905802141,31.912775671002173
1992,2,41.5,41.5,2.1213203435596424,36.0,36.0,8.48528137423857,357.28660694098954,357.28660694098954,5.103833991820339
1994,10,40.0,40.0,0.0,39.0,40.2,1.549193338482967,376.6980901583322,372.68339395936584,44.243586700207395
1997,25,46.0,45.28,4.894895300208171,47.0,44.0,3.6285901761795434,380.4156177117281,401.70280149147203,35.064832921649
1998,184,53.0,52.21195652173913,2.9575629604060816,48.0,47.619565217391305,1.9182322879353118,414.4659976351441,405.4887703390401,17.05152341715031
1999,516,65.0,61.554263565891475,6.444909275786324,50.0,48.87984496124031,2.4306099708273288,381.9718634205488,390.6433841769108,28.95105235241494
2000,26,65.0,64.1923076923077,7.031467731671564,47.0,51.46153846153846,9.588454595943057,380.4156177117281,405.4540365141705,49.072434689312054
2001,1697,60.0,58.46670595167944,8.439447500131196,47.0,55.221567472009426,12.779382316844321,380.4156177117281,374.49713556119235,38.771536485674986
2002,454,65.0,62.75330396475771,5.8416125499163,47.0,52.44933920704846,8.976094668650644,389.6378145047397,391.328344577491,27.82815192111593
2003,911,70.0,71.9099890230516,11.382829709596889,80.0,79.27661909989023,19.25155772167021,358.0986219567645,330.23598434645066,60.5362333646347
2004,81,70.0,69.03086419753086,8.989349837103195,70.5,64.17283950617283,15.627531893629893,380.4156177117281,365.1742431816735,29.29157996358031
2005,1128,80.0,75.37588652482269,5.934620435231788,80.0,81.7313829787234,12.309986461196734,322.1216591504038,300.2672824229709,47.19242444847871
2006,982,80.0,76.0132382892057,7.314392268196211,77.0,80.56435845213849,11.32364726157664,322.1216591504038,322.3861849677186,37.84148863034812
2007,2952,80.0,78.27032520325203,5.11508624048964,82.0,81.94136178861788,12.028695495585575,322.1216591504038,315.3540939462424,40.1977634969578
2008,4803,80.0,78.41494899021446,4.220889885430292,82.0,83.70072871122215,12.364471170411203,322.1216591504038,309.33277119378977,52.542290974624386
2009,5662,80.0,78.86374072765807,4.0187496873882385,82.0,84.30934298834335,10.709465143479822,322.1216591504038,313.7722608964376,44.35349563802421
2010,2905,80.0,79.6118760757315,3.8486626185702137,87.0,86.73493975903614,9.198434252887997,322.1216591504038,305.23515460430855,48.290827392191744
2011,3465,80.0,80.95988455988456,5.33508864850083,90.0,93.00966810966811,14.529927963212556,287.0748900000857,297.722772221581,66.16390569631228
2012,6500,80.0,84.03233846153846,9.029366209204634,97.0,95.6239076923077,13.157370213835794,284.17504983992364,276.51864531767814,58.89883708959757
2013,559,80.0,80.76565295169947,2.5379910975496545,100.0,97.11538461538461,6.607981989372986,216.45072260497767,254.04665614086545,51.834202491003346
2014,2498,80.0,82.66613290632506,5.5754753203298435,100.0,99.44875900720577,7.779730426420851,251.06746852630954,250.6479600085448,38.481175272230296
2015,4287,80.0,82.38649405178447,6.400473690574948,100.0,102.31070678796361,9.331232191089269,251.06746852630954,245.33934247144205,37.695161848164744
2016,3802,80.0,82.95981062598632,6.1339433912349195,110.0,108.17648605996844,7.4317817951564304,217.6316106488462,233.57654213804747,34.58764360466911
2017,4335,80.0,83.52272202998847,7.241826414020768,110.0,106.21386389850058,12.543044086508342,236.55609853135454,237.184433743789,25.923025486881507
2018,3054,89.0,88.25229207596594,5.808308058373998,116.0,115.96938441388343,8.022229748749968,227.90987850759413,229.6409814451051,25.86342558282907
2019,3567,89.0,90.08228202971685,7.327375896447533,120.0,121.16961031679283,8.438361277091685,210.52241149721607,219.7220617689516,27.347633753315684
2020,6162,89.0,90.07424537487829,8.502811652385422,127.0,124.86854917234665,9.63995167041922,222.6136472287903,222.9350513814345,25.952470822245065
2021,4366,89.0,94.29890059551076,12.401372043987413,127.0,127.85568025652772,11.047077579783444,222.6136472287903,230.21091296236057,27.67827908921336
2022,2613,92.0,98.52219670876387,11.526589086496836,127.0,132.1033295063146,11.413368029101846,222.6136472287903,233.52603712628908,28.238867848221624
2023,1972,105.0,100.99822515212982,12.503703029139363,127.0,132.87576064908723,11.500348777254192,222.6136472287903,236.46773166263804,24.97710840267965
2024,1115,105.0,106.14887892376682,13.046364155687733,140.0,137.1121076233184,11.527151093843273,222.6136472287903,234.10438037984247,22.026931367611965
2025,768,105.0,104.41276041666667,9.981688250152333,150.0,146.69791666666666,15.853876286487749,222.6136472287903,236.21252086676023,29.670535824305325
